date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:35:08	97771/97771	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20May%202018%2010:39:01%20GMT	http://pluginspoint.com/demo/i-finger-preview/05_film-town/index.html	C:/My%20Web%20Sites/Coba%20COba/pluginspoint.com/demo/i-finger-preview/05_film-town/index.html	(from )
22:35:10	67/67	---MC-	200	added ('OK')	text/plain	date:Sat,%2020%20Jul%202019%2015:35:09%20GMT	http://pluginspoint.com/robots.txt		(from )
22:35:12	2936/2936	---M--	200	added ('OK')	text/css	date:Wed,%2030%20May%202018%2010:43:52%20GMT	http://pluginspoint.com/demo/i-finger-preview/05_film-town/css/owl.carousel.min.css	C:/My%20Web%20Sites/Coba%20COba/pluginspoint.com/demo/i-finger-preview/05_film-town/css/owl.carousel.min.css	(from http://pluginspoint.com/demo/i-finger-preview/05_film-town/index.html)
22:35:17	35973/35973	---M--	200	added ('OK')	text/css	date:Wed,%2030%20May%202018%2010:43:51%20GMT	http://pluginspoint.com/demo/i-finger-preview/05_film-town/css/jquery-ui.css	C:/My%20Web%20Sites/Coba%20COba/pluginspoint.com/demo/i-finger-preview/05_film-town/css/jquery-ui.css	(from http://pluginspoint.com/demo/i-finger-preview/05_film-town/index.html)
22:35:19	127343/127343	---M--	200	added ('OK')	text/css	date:Wed,%2030%20May%202018%2010:43:49%20GMT	http://pluginspoint.com/demo/i-finger-preview/05_film-town/css/bootstrap.min.css	C:/My%20Web%20Sites/Coba%20COba/pluginspoint.com/demo/i-finger-preview/05_film-town/css/bootstrap.min.css	(from http://pluginspoint.com/demo/i-finger-preview/05_film-town/index.html)
22:35:21	34680/34680	---M--	200	added ('OK')	text/css	date:Wed,%2030%20May%202018%2010:43:50%20GMT	http://pluginspoint.com/demo/i-finger-preview/05_film-town/css/fontawesome-all.min.css	C:/My%20Web%20Sites/Coba%20COba/pluginspoint.com/demo/i-finger-preview/05_film-town/css/fontawesome-all.min.css	(from http://pluginspoint.com/demo/i-finger-preview/05_film-town/index.html)
22:35:21	72259/72259	---M--	200	added ('OK')	text/css	date:Wed,%2030%20May%202018%2010:43:47%20GMT	http://pluginspoint.com/demo/i-finger-preview/05_film-town/css/animate.css	C:/My%20Web%20Sites/Coba%20COba/pluginspoint.com/demo/i-finger-preview/05_film-town/css/animate.css	(from http://pluginspoint.com/demo/i-finger-preview/05_film-town/index.html)
22:35:22	18783/18783	---M--	200	added ('OK')	text/css	date:Wed,%2030%20May%202018%2010:43:53%20GMT	http://pluginspoint.com/demo/i-finger-preview/05_film-town/css/plyr.css	C:/My%20Web%20Sites/Coba%20COba/pluginspoint.com/demo/i-finger-preview/05_film-town/css/plyr.css	(from http://pluginspoint.com/demo/i-finger-preview/05_film-town/index.html)
22:35:22	6951/6951	---M--	200	added ('OK')	text/css	date:Wed,%2030%20May%202018%2010:43:52%20GMT	http://pluginspoint.com/demo/i-finger-preview/05_film-town/css/magnific-popup.css	C:/My%20Web%20Sites/Coba%20COba/pluginspoint.com/demo/i-finger-preview/05_film-town/css/magnific-popup.css	(from http://pluginspoint.com/demo/i-finger-preview/05_film-town/index.html)
22:35:22	2505/2505	---M--	200	added ('OK')	text/css	date:Wed,%2030%20May%202018%2010:43:54%20GMT	http://pluginspoint.com/demo/i-finger-preview/05_film-town/css/slicknav.min.css	C:/My%20Web%20Sites/Coba%20COba/pluginspoint.com/demo/i-finger-preview/05_film-town/css/slicknav.min.css	(from http://pluginspoint.com/demo/i-finger-preview/05_film-town/index.html)
